Comments,Reviewer Name,,,,,,,
"IIT Mandi offers placement and internship for all undergraduate and postgraduate programmes.
In 2019, 81% students got placed in top-notch companies.
CSE has made the highest placement with 54 placed students.Top recruiters included Amazon, Cortex and ISRO.",Student (Anonymous),,,,,,,
"Very few companies comes for master's degree student. For maths companies like byju, tcs, and few analyst companies like decesion point visit the campus. About 10 percent of students got placed every from mathematics department. I got placed in TCS Research and Innovation Labs.",Mantu Prasad Gupta,,,,,,,
"The Placement Scenario at Indian Institute of Technology, [IIT] Mandi is quite good for CSE students, but it's very bad for EE and ME students. Almost all the CSE students have got placed in the year 2015. Same is the scene with Internship. Many known companies, such as Flipkart, Amazon, Microsoft visit the campus for CSE students (Internship and Placement), but very few core EE and ME companies visit the campus. Key companies that hire from our campus for the role of SDE/SDET include Flipkart, Amazon, Microsoft, Drishti-Soft, Samsung Research, Practo, Grofers.
Average Salary (per year) for CSE: Rs 11 lakhs per annum, ME : Rs 7 lakhs per annum, EE: Rs 7 lakhs per annum. Highest Salary for CSE: Rs 27.4 lakhs per annum (India). Percentage of CSE batch that got places: 98%|For CSE, students may get internship and job very easily with companies like Microsoft, google, Amazon with stipends and also provide PPO if you were very brilliantly during the internship.",Dinesh,,,,,,,
I personally managed to land an internship in my prefinal year at an education start-up named doubt not it was not what you get rather what you need to land an internship firstly you need to maintain an above-average CGPA to get a decent internship if it is industry focused or core-based but if not your CGPA will not matter unless they use it to filter amongst the applicants for the same internship whatever's taught in college is more than sufficient to get a decent internship so just believe in yourself and don't panic well that's an advice every senior gave me but human nature is affected by pears and society so even though you will land an internship you will take more stress for it than required.,Shubham Meena,,,,,,,
The placements are best for computer science and various management companies also visit the institute. The placements in core branches is not that good but students who know about coding get placed easily.|I interned at DRDO there was no stipend and I worked on identification of weaker region in soil which was different for me.,Student (Anonymous),,,,,,,
Placements and job opportunities are very good. Internships are also provided by the college. All big companies like Google Amazon Microsoft Facebook etc came to college to hire. Average salary is 6 lakh.,Kailash Kumar,,,,,,,
"Placements and job opportunities are very good. Big companies like google,amazon,microsoft,samsung etc recruited. There has been 50 percent increase in package from last year.
College also provides internship opportunities.",Kailash Kumar,,,,,,,
"Placement and job opportunities are really good here. Companies like Microsoft, Adobe, Amazon, TCS, Goldman etc. come every year to provide jobs. The average package of a student graduated from IIT Mandi is around 15 lacs per annum. Yes, my college provides intership opportunities in the field of research, data science, machine learning and many more.",Sanskar Gupta,,,,,,,
In IIT Mandi job and placement opportunities on basis CGPA eligibility criteria area yes IIT Mandi are provided internship companies as the ib-hub and hcl extras so I like in IIT Mandi placements and internship.,Arun Kumar,,,,,,,
"placement for computer science students is awesome u get high package of 15-17 lac per anum average. civil engineering student are placed in some reputed institute like l&t,sapoorji pannoji,afcon etc. mtech placement are also good. u r some time selected in hihger studies in good institute like mit,standford etc. u feel good to work in this enviornment to study there.",HARSHIT AGARWAL,,,,,,,
My few friends were there who has been there to couple of NGO what they told that they have been unpaid and the experience which they got was good but the contents which they got on the website and actual things were not same,SHASHANK SHEKHAR,,,,,,,
"There are many Placement and job opportunities because most of the placement is incampus and that too with suitable pay. Yes, companies come in campus for internship interviews. Currently i am in second year so have not done any internship yet. But stipend depends on the company in which you get selected. Companies like adobe give 1 lac per month.",Vishesh Mongia,,,,,,,
"The placement and job opportunities are quite good for students of Mtech and Btech. Us Msc. students however did not get much benefit from camous placement. For that we had to clear GATE exam and then apply for PSU's separately.|Yes, our college provides internship. But instead of opting for that, I decided to continue my masters research in the time that was available between semesters as our main focus was to have good thesis.",Prachi Bhatia,,,,,,,
"Placement and job opportunities are good for several branches not for civil and mechanical, college will not help for them.if you are in Computer science there are more chances you got placed, so before choose college do some research.",Rahul Chauhan,,,,,,,
Placements are good. Many MNCs visit the college every year and there is almost 90% placement record of this college. Placement and training cell provides opportunities for students to get internships and jobs. It has good past records in placement.,Shivam,,,,,,,
"Yes the placements are good and the college also provides internships. I haven’t been part of it yet. But many big companies visit the college including Microsoft, Codenation, Amazon, Directi, Goldmann Sachs.",Rishi Sharma,,,,,,,
"Placwment of IIT are always the best .where aberage salaries of cs ,ee,mechand ce are about 15,8,9 and 9 lacs respecrively. Yeah mandi have ita location ndisadvamtages but placement scenerio is quite decent than pter private colleges or nits.",Gautam,,,,,,,
"Here placements and job opportunities are very high , approx 80-85% b.tech students are placed from every batch.
I am from 2nd year so not much known about placement.
And our college provide internship but I don't know much about it.",Rajan Kumar,,,,,,,
yes institute provide internship. Internship are provided by MHRD through college. But internship always credited late.,Anand Kumar,,,,,,,
"IIT Mandi had only three branches. Civil branch started in 2016 only. Package and opportunities follows: CSE > ME >= EE. In the top companies we have Amazon, Microsoft, flipkart and all. in 2015 one student also got placed in Google. Placement of ME and EE students in core companies is not up to the mark. Average is 10-11 lac for CSE and 6-8 lac for EE and ME.",Sakshama Ghoslya,,,,,,,
As being an IIT this college has a long list of recruiters offering good packages to students. Recently Flipkart offered 27 L to the selected students.|Very reputed and renown companies come and select students for internships. Stipend offered by them is also irresistible and give students economic supports.,Anand Kumar,,,,,,,
"I graduated in 2014 and their was an economic slump in India. During that time very company visited our campus for Mech recruitment. Altair offered 7LPA, Trident 9LPA and LnT offered 3 LPA. Recently I got to know a lot of companies visited like M&M, Tata etc. for mech.|During my time we did not get much offers because of Economic Slowdown. One company offered me an internship(Polaris Financial Technology) but when I went there, they directly refused it. So I had to work for some relatives and they were a certified company.",Knav,,,,,,,
"In 2015, Amazon visited campus who picked 10 students (5 PO + 5 PPO) @27 lpa domestic offer. Others were Microsoft, cognizant, TCS, tata motors, Eclerx etc. The off-campus placement highest was around 1.7 crore in google. Placement occurs in 7th sem, almost all the students were placed.|Yes, you have to contact personally with professors. The professors are helpful, and liberal. The stipend may vary according to your work done. The companies for placement and internship are same. They pick for both positions. like Amazon, Microsoft etc","Anil Kumar""IIT Mandi offers placement and internship for all undergraduate and postgraduate programmes.",,,,,,,
In 2019, 81% students got placed in top-notch companies.,,,,,,,
CSE has made the highest placement with 54 placed students.Top recruiters included Amazon," Cortex and ISRO.""",Student (Anonymous),,,,,,
"Very few companies comes for master's degree student. For maths companies like byju, tcs, and few analyst companies like decesion point visit the campus. About 10 percent of students got placed every from mathematics department. I got placed in TCS Research and Innovation Labs.",Mantu Prasad Gupta,,,,,,,
"The Placement Scenario at Indian Institute of Technology, [IIT] Mandi is quite good for CSE students, but it's very bad for EE and ME students. Almost all the CSE students have got placed in the year 2015. Same is the scene with Internship. Many known companies, such as Flipkart, Amazon, Microsoft visit the campus for CSE students (Internship and Placement), but very few core EE and ME companies visit the campus. Key companies that hire from our campus for the role of SDE/SDET include Flipkart, Amazon, Microsoft, Drishti-Soft, Samsung Research, Practo, Grofers.
Average Salary (per year) for CSE: Rs 11 lakhs per annum, ME : Rs 7 lakhs per annum, EE: Rs 7 lakhs per annum. Highest Salary for CSE: Rs 27.4 lakhs per annum (India). Percentage of CSE batch that got places: 98%|For CSE, students may get internship and job very easily with companies like Microsoft, google, Amazon with stipends and also provide PPO if you were very brilliantly during the internship.",Dinesh,,,,,,,
I personally managed to land an internship in my prefinal year at an education start-up named doubt not it was not what you get rather what you need to land an internship firstly you need to maintain an above-average CGPA to get a decent internship if it is industry focused or core-based but if not your CGPA will not matter unless they use it to filter amongst the applicants for the same internship whatever's taught in college is more than sufficient to get a decent internship so just believe in yourself and don't panic well that's an advice every senior gave me but human nature is affected by pears and society so even though you will land an internship you will take more stress for it than required.,Shubham Meena,,,,,,,
The placements are best for computer science and various management companies also visit the institute. The placements in core branches is not that good but students who know about coding get placed easily.|I interned at DRDO there was no stipend and I worked on identification of weaker region in soil which was different for me.,Student (Anonymous),,,,,,,
Placements and job opportunities are very good. Internships are also provided by the college. All big companies like Google Amazon Microsoft Facebook etc came to college to hire. Average salary is 6 lakh.,Kailash Kumar,,,,,,,
"Placements and job opportunities are very good. Big companies like google,amazon,microsoft,samsung etc recruited. There has been 50 percent increase in package from last year.
College also provides internship opportunities.",Kailash Kumar,,,,,,,
"Placement and job opportunities are really good here. Companies like Microsoft, Adobe, Amazon, TCS, Goldman etc. come every year to provide jobs. The average package of a student graduated from IIT Mandi is around 15 lacs per annum. Yes, my college provides intership opportunities in the field of research, data science, machine learning and many more.",Sanskar Gupta,,,,,,,
In IIT Mandi job and placement opportunities on basis CGPA eligibility criteria area yes IIT Mandi are provided internship companies as the ib-hub and hcl extras so I like in IIT Mandi placements and internship.,Arun Kumar,,,,,,,
